"Any","Codi municipi","Municipi","Comarca","Població","Autocompostatge","Matèria orgànica","Poda i jardineria","Paper i cartró","Vidre","Envasos lleugers","Residus voluminosos + fusta","RAEE","Ferralla","Olis vegetals","Tèxtil","Runes","Residus en Petites Quantitats (RPQ)","Piles","Medicaments","Altres recollides selectives","Total Recollida Selectiva","R.S. / R.M. % total","Kg/hab/any recollida selectiva","Resta a Dipòsit","Resta a Incineració","Resta a Tractament Mecànic Biològic","Resta (sense desglossar)","Suma Fracció Resta","F.R. / R.M. %","Generació Residus Municipal Totals","Kg / hab / dia","Kg / hab / any"
"2000","80060","Arenys de Mar","Maresme","11.827","0,00","220,80","0,00","231,62","145,14","60,74","324,36","0,00","0,00","0,00","0,00","0,00","0,00","0,21","0,56","0,00","983,43","12,69","83,15","0,00","0,00","0,00","6.766,00","6.766,00","87,31","7.749,43","1,80","655,23"
"2000","80076","Arenys de Munt","Maresme","5.483","0,00","95,60","6,82","126,21","94,35","33,38","173,04","0,00","0,00","0,00","0,00","0,00","0,00","0,09","0,26","119,43","649,18","17,47","118,40","0,00","0,00","0,00","3.065,97","3.065,97","82,53","3.715,15","1,86","677,58"
"2000","170101","Argelaguer","Garrotxa","361","0,00","0,00","0,00","6,82","5,76","1,76","13,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","27,36","15,36","75,78","0,00","0,00","0,00","150,77","150,77","84,64","178,12","1,35","493,42"
"2000","80082","Argençola","Anoia","163","0,00","0,00","0,00","7,30","8,40","1,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","16,91","17,49","103,73","0,00","0,00","0,00","79,76","79,76","82,51","96,66","1,62","593,03"
"2000","430173","Argentera, l'","Baix Camp","149","0,00","0,00","0,00","3,50","2,41","0,85","2,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","9,47","18,43","63,54","0,00","0,00","0,00","41,91","41,91","81,57","51,38","0,94","344,81"
"2000","80095","Argentona","Maresme","8.676","0,00","0,00","0,00","125,50","126,95","32,02","231,15","0,00","0,00","0,00","0,00","0,00","0,00","0,32","0,41","0,00","516,35","9,67","59,52","0,00","0,00","0,00","4.821,60","4.821,60","90,33","5.337,95","1,69","615,26"
"2000","170118","Armentera, l'","Alt Empordà","749","0,00","0,00","0,00","3,30","10,60","2,54","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,00","16,48","3,21","22,00","0,00","0,00","0,00","496,69","496,69","96,79","513,17","1,88","685,13"
"2000","430189","Arnes","Terra Alta","535","0,00","0,00","0,00","4,47","9,00","0,39","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,00","13,89","6,83","25,95","0,00","0,00","0,00","189,44","189,44","93,17","203,33","1,04","380,05"
"2000","250313","Arres","Val d'Aran","64","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,05","0,00","0,00","0,00","57,21","57,21","99,99","57,21","2,45","893,98"
"2000","250328","Arsèguel","Alt Urgell","101","0,00","0,00","0,07","3,40","2,03","0,83","0,96","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","4,22","11,50","24,69","113,90","0,00","0,00","0,00","35,10","35,10","75,31","46,60","1,26","461,43"
