"ID","Nom","ON VA?","PROCÉS 1","PROCÉS 2","EN QUÈ ES TRANSFORMA 1","EN QUÈ ES TRANSFORMA 2","CONSELL DE PREVENCIÓ"
"R127","Vernís","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Metalls","-","Opta sempre que puguis pels vernissos ecològics, elaborats a partir de substàncies naturals com la trementina o la pell de taronja, molt menys contaminants en esdevenir residu."
"R128","Vidre pla","Deixalleria / Punt Verd ","Empresa especialitzada","Fabricant","Vidre pla","-","Per diferències en la composició d’aquest vidre és millor no barrejar-lo amb el vidre dels envasos."
"R129","Vidre de marc de fotos","Deixalleria / Punt Verd ","Empresa especialitzada","Fabricant","Vidre pla","-","Per diferències en la composició d’aquest vidre és millor no barrejar-lo amb el vidre dels envasos."
"R131","Xarxa de fruita","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Bosses de plàstic","-","Per diferències en la composició d’aquest vidre és millor no barrejar-lo amb el vidre dels envasos."
"R132","Xiclet","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R133","Xinxeta","Fracció resta (gris)","Planta de triatge: Resta","-","Monodipòsit","-","-"
"R134","Xumet","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R135","Caixa de fusta petita (per a la fruita més delicada)","Envàs lleuger (groc)","Planta de triatge d'envasos","Fabricant","Combustible","Conglomerat","-"
"R136","Capsa de sabates","Paper i cartró (blau)","Planta de triatge de paper i cartró","Planta de reciclatge","Paper reciclat","-","-"
"R137","Capsa de cereals","Paper i cartró (blau)","Planta de triatge de paper i cartró","Planta de reciclatge","Paper reciclat","-","-"
"R138","Flascó de vidre","Vidre (verd)","Planta de triatge: Vidre","Planta de reciclatge","Vidre reciclat","-","-"
"R139","Tovalloletes humides","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R140","Cartutxos de cera depilatòria","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Plàstics","-","-"
"ID","Nom",,,,,,
"C1/01","Fracció orgànica (marró-taronja)",,,,,,
"C1/02","Envàs lleuger (groc)",,,,,,
"C1/03","Envàs vidre (verd)",,,,,,
"C1/04","Paper i cartró (blau)",,,,,,
"C1/05","Rebuig (gris)",,,,,,
