municipi;col;r;c;value;status
Borges del Camp, les;Codi;132;2;430311;
Borges del Camp, les;Altitud (m);132;3;238;
Borges del Camp, les;Superfície (km²);132;4;8,24;
Borges del Camp, les;Població;132;5;2313;
Borrassà;Comarca;133;1;Alt Empordà;
Borrassà;Codi;133;2;170268;
Borrassà;Altitud (m);133;3;73;
Borrassà;Superfície (km²);133;4;9,45;
Borrassà;Població;133;5;802;
Borredà;Comarca;134;1;Berguedà;
Borredà;Codi;134;2;80240;
Borredà;Altitud (m);134;3;854;
Borredà;Superfície (km²);134;4;43,45;
Borredà;Població;134;5;434;
Bossòst;Comarca;135;1;Aran;
Bossòst;Codi;135;2;250595;
Bossòst;Altitud (m);135;3;710;
Bossòst;Superfície (km²);135;4;28,17;
Bossòst;Població;135;5;1178;
Bot;Comarca;136;1;Terra Alta;
Bot;Codi;136;2;430326;
Bot;Altitud (m);136;3;286;
Bot;Superfície (km²);136;4;34,94;
Bot;Població;136;5;545;
Botarell;Comarca;137;1;Baix Camp;
Botarell;Codi;137;2;430332;
Botarell;Altitud (m);137;3;196;
Botarell;Superfície (km²);137;4;11,95;
Botarell;Població;137;5;1156;
Bovera;Comarca;138;1;Garrigues;
Bovera;Codi;138;2;250560;
Bovera;Altitud (m);138;3;297;
Bovera;Superfície (km²);138;4;31,12;
Bovera;Població;138;5;252;
Bràfim;Comarca;139;1;Alt Camp;
Bràfim;Codi;139;2;430347;
Bràfim;Altitud (m);139;3;236;
Bràfim;Superfície (km²);139;4;6,42;
Bràfim;Població;139;5;705;
Breda;Comarca;140;1;Selva;
Breda;Codi;140;2;170274;
Breda;Altitud (m);140;3;169;
Breda;Superfície (km²);140;4;5,02;
Breda;Població;140;5;3964;
Bruc, el;Comarca;141;1;Anoia;
Bruc, el;Codi;141;2;80253;
Bruc, el;Altitud (m);141;3;489;
Bruc, el;Superfície (km²);141;4;47,2;
Bruc, el;Població;141;5;2294;
Brull, el;Comarca;142;1;Osona;
Brull, el;Codi;142;2;80266;
Brull, el;Altitud (m);142;3;843;
Brull, el;Superfície (km²);142;4;41,03;
Brull, el;Població;142;5;297;
Brunyola i Sant Martí Sapresa;Comarca;143;1;Selva;
Brunyola i Sant Martí Sapresa;Codi;143;2;170280;
Brunyola i Sant Martí Sapresa;Altitud (m);143;3;247;
Brunyola i Sant Martí Sapresa;Superfície (km²);143;4;36,82;
Brunyola i Sant Martí Sapresa;Població;143;5;399;
Cabacés;Comarca;144;1;Priorat;
Cabacés;Codi;144;2;430350;
Cabacés;Altitud (m);144;3;358;
Cabacés;Superfície (km²);144;4;31,27;
Cabacés;Població;144;5;295;
Cabanabona;Comarca;145;1;Noguera;
Cabanabona;Codi;145;2;250609;
Cabanabona;Altitud (m);145;3;421;
Cabanabona;Superfície (km²);145;4;14,16;
Cabanabona;Població;145;5;70;
Cabanelles;Comarca;146;1;Alt Empordà;
Cabanelles;Codi;146;2;170314;
Cabanelles;Altitud (m);146;3;194;
Cabanelles;Superfície (km²);146;4;55,58;
Cabanelles;Població;146;5;286;
Cabanes;Comarca;147;1;Alt Empordà;
Cabanes;Codi;147;2;170307;
Cabanes;Altitud (m);147;3;26;
Cabanes;Superfície (km²);147;4;15,02;
Cabanes;Població;147;5;998;
Cabanyes, les;Comarca;148;1;Alt Penedès;
Cabanyes, les;Codi;148;2;80272;
Cabanyes, les;Altitud (m);148;3;252;
Cabanyes, les;Superfície (km²);148;4;1,15;
Cabanyes, les;Població;148;5;1064;
Cabó;Comarca;149;1;Alt Urgell;
Cabó;Codi;149;2;250616;
Cabó;Altitud (m);149;3;768;
Cabó;Superfície (km²);149;4;80,33;
Cabó;Població;149;5;87;
Cabra del Camp;Comarca;150;1;Alt Camp;
Cabra del Camp;Codi;150;2;430363;
Cabra del Camp;Altitud (m);150;3;493;
Cabra del Camp;Superfície (km²);150;4;26,95;
Cabra del Camp;Població;150;5;1387;
Cabrera d'Anoia;Comarca;151;1;Anoia;
Cabrera d'Anoia;Codi;151;2;80288;
Cabrera d'Anoia;Altitud (m);151;3;299;
Cabrera d'Anoia;Superfície (km²);151;4;17;
Cabrera d'Anoia;Població;151;5;1777;
Cabrera de Mar;Comarca;152;1;Maresme;
Cabrera de Mar;Codi;152;2;80291;
Cabrera de Mar;Altitud (m);152;3;104;
Cabrera de Mar;Superfície (km²);152;4;8,98;
Cabrera de Mar;Població;152;5;5053;
Cabrils;Comarca;153;1;Maresme;
Cabrils;Codi;153;2;80305;
Cabrils;Altitud (m);153;3;147;
Cabrils;Superfície (km²);153;4;7,05;
Cabrils;Població;153;5;7755;
Cadaqués;Comarca;154;1;Alt Empordà;
Cadaqués;Codi;154;2;170329;
Cadaqués;Altitud (m);154;3;23;
Cadaqués;Superfície (km²);154;4;26,43;
Cadaqués;Població;154;5;2906;
Calaf;Comarca;155;1;Anoia;
Calaf;Codi;155;2;80312;
Calaf;Altitud (m);155;3;680;
Calaf;Superfície (km²);155;4;9,22;
Calaf;Població;155;5;3627;
Calafell;Comarca;156;1;Baix Penedès;
Calafell;Codi;156;2;430379;
Calafell;Altitud (m);156;3;67;
Calafell;Superfície (km²);156;4;20,38;
Calafell;Població;156;5;32429;
Calders;Comarca;157;1;Moianès;
Calders;Codi;157;2;80348;
Calders;Altitud (m);157;3;552;
Calders;Superfície (km²);157;4;33,09;
Calders;Població;157;5;1121;
Caldes d'Estrac;Comarca;158;1;Maresme;
Caldes d'Estrac;Codi;158;2;80327;
Caldes d'Estrac;Altitud (m);158;3;33;
Caldes d'Estrac;Superfície (km²);158;4;0,88;
Caldes d'Estrac;Població;158;5;3348;
Caldes de Malavella;Comarca;159;1;Selva;
Caldes de Malavella;Codi;159;2;170335;
Caldes de Malavella;Altitud (m);159;3;84;
Caldes de Malavella;Superfície (km²);159;4;57,33;
Caldes de Malavella;Població;159;5;8644;
Caldes de Montbui;Comarca;160;1;Vallès Oriental;
Caldes de Montbui;Codi;160;2;80333;
Caldes de Montbui;Altitud (m);160;3;203;
Caldes de Montbui;Superfície (km²);160;4;37,45;
Caldes de Montbui;Població;160;5;18554;
Calella;Comarca;161;1;Maresme;
Calella;Codi;161;2;80351;
Calella;Altitud (m);161;3;5;
Calella;Superfície (km²);161;4;8;
Calella;Població;161;5;20775;
Calldetenes;Comarca;162;1;Osona;
Calldetenes;Codi;162;2;80370;
Calldetenes;Altitud (m);162;3;489;
Calldetenes;Superfície (km²);162;4;5,8;
Calldetenes;Població;162;5;2724;
Callús;Comarca;163;1;Bages;
Callús;Codi;163;2;80386;
Callús;Altitud (m);163;3;260;
Callús;Superfície (km²);163;4;12,5;
Callús;Població;163;5;2193;
Calonge de Segarra;Comarca;164;1;Anoia;
Calonge de Segarra;Codi;164;2;80364;
Calonge de Segarra;Altitud (m);164;3;688;
Calonge de Segarra;Superfície (km²);164;4;37,15;
Calonge de Segarra;Població;164;5;179;
Calonge i Sant Antoni;Comarca;165;1;Baix Empordà;
Calonge i Sant Antoni;Codi;165;2;170340;
Calonge i Sant Antoni;Altitud (m);165;3;22;
Calonge i Sant Antoni;Superfície (km²);165;4;33,57;
Calonge i Sant Antoni;Població;165;5;12268;
Camarasa;Comarca;166;1;Noguera;
Camarasa;Codi;166;2;250621;
Camarasa;Altitud (m);166;3;321;
Camarasa;Superfície (km²);166;4;157,13;
Camarasa;Població;166;5;800;
Camarles;Comarca;167;1;Baix Ebre;
Camarles;Codi;167;2;439039;
Camarles;Altitud (m);167;3;13;
Camarles;Superfície (km²);167;4;25,16;
Camarles;Població;167;5;3499;
Cambrils;Comarca;168;1;Baix Camp;
Cambrils;Codi;168;2;430385;
Cambrils;Altitud (m);168;3;24;
Cambrils;Superfície (km²);168;4;35,21;
Cambrils;Població;168;5;37068;
Camós;Comarca;169;1;Pla de l'Estany;
Camós;Codi;169;2;170353;
Camós;Altitud (m);169;3;168;
Camós;Superfície (km²);169;4;15,66;
Camós;Població;169;5;700;
Campdevànol;Comarca;170;1;Ripollès;
Campdevànol;Codi;170;2;170366;
Campdevànol;Altitud (m);170;3;738;
Campdevànol;Superfície (km²);170;4;32,62;
Campdevànol;Població;170;5;3240;
Campelles;Comarca;171;1;Ripollès;
Campelles;Codi;171;2;170372;
Campelles;Altitud (m);171;3;1303;
Campelles;Superfície (km²);171;4;18,64;
Campelles;Població;171;5;163;
Campins;Comarca;172;1;Vallès Oriental;
Campins;Codi;172;2;80399;
Campins;Altitud (m);172;3;321;
Campins;Superfície (km²);172;4;7,29;
Campins;Població;172;5;588;
Campllong;Comarca;173;1;Gironès;
Campllong;Codi;173;2;170388;
Campllong;Altitud (m);173;3;113;
Campllong;Superfície (km²);173;4;8,59;
Campllong;Població;173;5;534;
Camprodon;Comarca;174;1;Ripollès;
Camprodon;Codi;174;2;170391;
Camprodon;Altitud (m);174;3;947;
Camprodon;Superfície (km²);174;4;103,38;
Camprodon;Població;174;5;2560;
Canejan;Comarca;175;1;Aran;
Canejan;Codi;175;2;250637;
Canejan;Altitud (m);175;3;906;
Canejan;Superfície (km²);175;4;48,32;
Canejan;Població;175;5;96;
Canet d'Adri;Comarca;176;1;Gironès;
Canet d'Adri;Codi;176;2;170405;
Canet d'Adri;Altitud (m);176;3;217;
Canet d'Adri;Superfície (km²);176;4;44,41;
Canet d'Adri;Població;176;5;742;
Canet de Mar;Comarca;177;1;Maresme;
Canet de Mar;Codi;177;2;80403;
Canet de Mar;Altitud (m);177;3;15;
Canet de Mar;Superfície (km²);177;4;5,56;
Canet de Mar;Població;177;5;15191;
Canonja, la;Comarca;178;1;Tarragonès;
Canonja, la;Codi;178;2;439076;
Canonja, la;Altitud (m);178;3;50;
Canonja, la;Superfície (km²);178;4;7,32;
Canonja, la;Població;178;5;5993;
Canovelles;Comarca;179;1;Vallès Oriental;
Canovelles;Codi;179;2;80410;
Canovelles;Altitud (m);179;3;175;
Canovelles;Superfície (km²);179;4;6,66;
Canovelles;Població;179;5;17445;
Cànoves i Samalús;Comarca;180;1;Vallès Oriental;
Cànoves i Samalús;Codi;180;2;80425;
Cànoves i Samalús;Altitud (m);180;3;346;
Cànoves i Samalús;Superfície (km²);180;4;29,19;
Cànoves i Samalús;Població;180;5;3393;
Cantallops;Comarca;181;1;Alt Empordà;
Cantallops;Codi;181;2;170412;
Cantallops;Altitud (m);181;3;200;
Cantallops;Superfície (km²);181;4;19,62;
Cantallops;Població;181;5;367;
Canyelles;Comarca;182;1;Garraf;
Canyelles;Codi;182;2;80431;
Canyelles;Altitud (m);182;3;142;
Canyelles;Superfície (km²);182;4;14,23;
Canyelles;Població;182;5;5494;
Capafonts;Comarca;183;1;Baix Camp;
Capafonts;Codi;183;2;430398;
Capafonts;Altitud (m);183;3;751;
Capafonts;Superfície (km²);183;4;13,35;
Capafonts;Població;183;5;101;
Capçanes;Comarca;184;1;Priorat;
Capçanes;Codi;184;2;430402;
Capçanes;Altitud (m);184;3;223;
Capçanes;Superfície (km²);184;4;22,49;
Capçanes;Població;184;5;446;
Capellades;Comarca;185;1;Anoia;
Capellades;Codi;185;2;80446;
Capellades;Altitud (m);185;3;317;
Capellades;Superfície (km²);185;4;2,94;
Capellades;Població;185;5;5598;
Capmany;Comarca;186;1;Alt Empordà;
Capmany;Codi;186;2;170427;
Capmany;Altitud (m);186;3;107;
Capmany;Superfície (km²);186;4;26,4;
Capmany;Població;186;5;677;
Capolat;Comarca;187;1;Berguedà;
Capolat;Codi;187;2;80459;
Capolat;Altitud (m);187;3;1279;
Capolat;Superfície (km²);187;4;34,13;
Capolat;Població;187;5;93;
Cardedeu;Comarca;188;1;Vallès Oriental;
Cardedeu;Codi;188;2;80462;
Cardedeu;Altitud (m);188;3;193;
Cardedeu;Superfície (km²);188;4;12,1;
Cardedeu;Població;188;5;19050;
Cardona;Comarca;189;1;Bages;
Cardona;Codi;189;2;80478;
Cardona;Altitud (m);189;3;507;
Cardona;Superfície (km²);189;4;66,7;
Cardona;Població;189;5;4540;
Carme;Comarca;190;1;Anoia;
Carme;Codi;190;2;80484;
Carme;Altitud (m);190;3;351;
Carme;Superfície (km²);190;4;11,68;
Carme;Població;190;5;860;
Caseres;Comarca;191;1;Terra Alta;
Caseres;Codi;191;2;430419;
Caseres;Altitud (m);191;3;324;
Caseres;Superfície (km²);191;4;42,9;
Caseres;Població;191;5;250;
Cassà de la Selva;Comarca;192;1;Gironès;
Cassà de la Selva;Codi;192;2;170448;
Cassà de la Selva;Altitud (m);192;3;137;
Cassà de la Selva;Superfície (km²);192;4;45,21;
Cassà de la Selva;Població;192;5;11167;
Casserres;Comarca;193;1;Berguedà;
Casserres;Codi;193;2;80497;
Casserres;Altitud (m);193;3;611;
Casserres;Superfície (km²);193;4;29,46;
Casserres;Població;193;5;1665;
Castell d'Aro, Platja d'Aro i s'Agaró;Comarca;194;1;Baix Empordà;
Castell d'Aro, Platja d'Aro i s'Agaró;Codi;194;2;170486;
Castell d'Aro, Platja d'Aro i s'Agaró;Altitud (m);194;3;5;
Castell d'Aro, Platja d'Aro i s'Agaró;Superfície (km²);194;4;21,74;
Castell d'Aro, Platja d'Aro i s'Agaró;Població;194;5;12889;
Castell de l'Areny;Comarca;195;1;Berguedà;
Castell de l'Areny;Codi;195;2;80575;
Castell de l'Areny;Altitud (m);195;3;954;
Castell de l'Areny;Superfície (km²);195;4;24,35;
Castell de l'Areny;Població;195;5;68;
Castell de Mur;Comarca;196;1;Pallars Jussà;
Castell de Mur;Codi;196;2;259046;
Castell de Mur;Altitud (m);196;3;532;
Castell de Mur;Superfície (km²);196;4;62,42;
Castell de Mur;Població;196;5;159;
Castellar de la Ribera;Comarca;197;1;Solsonès;
Castellar de la Ribera;Codi;197;2;250642;
Castellar de la Ribera;Altitud (m);197;3;657;
Castellar de la Ribera;Superfície (km²);197;4;60,19;
Castellar de la Ribera;Població;197;5;131;
Castellar de n'Hug;Comarca;198;1;Berguedà;
Castellar de n'Hug;Codi;198;2;80522;
Castellar de n'Hug;Altitud (m);198;3;1395;
Castellar de n'Hug;Superfície (km²);198;4;47,12;
Castellar de n'Hug;Població;198;5;166;
Castellar del Riu;Comarca;199;1;Berguedà;
Castellar del Riu;Codi;199;2;80500;
Castellar del Riu;Altitud (m);199;3;920;
Castellar del Riu;Superfície (km²);199;4;32,74;
Castellar del Riu;Població;199;5;151;
Castellar del Vallès;Comarca;200;1;Vallès Occidental;
Castellar del Vallès;Codi;200;2;80517;
Castellar del Vallès;Altitud (m);200;3;331;
Castellar del Vallès;Superfície (km²);200;4;44,91;
Castellar del Vallès;Població;200;5;25395;
Castellbell i el Vilar;Comarca;201;1;Bages;
Castellbell i el Vilar;Codi;201;2;80538;
Castellbell i el Vilar;Altitud (m);201;3;178;
Castellbell i el Vilar;Superfície (km²);201;4;28,47;
Castellbell i el Vilar;Població;201;5;4163;
Castellbisbal;Comarca;202;1;Vallès Occidental;
Castellbisbal;Codi;202;2;80543;
Castellbisbal;Altitud (m);202;3;132;
Castellbisbal;Superfície (km²);202;4;31,03;
Castellbisbal;Població;202;5;13058;
Castellcir;Comarca;203;1;Moianès;
Castellcir;Codi;203;2;80556;
Castellcir;Altitud (m);203;3;773;
Castellcir;Superfície (km²);203;4;34,18;
Castellcir;Població;203;5;802;
Castelldans;Comarca;204;1;Garrigues;
Castelldans;Codi;204;2;250674;
Castelldans;Altitud (m);204;3;353;
Castelldans;Superfície (km²);204;4;65,1;
Castelldans;Població;204;5;955;
Castelldefels;Comarca;205;1;Baix Llobregat;
Castelldefels;Codi;205;2;80569;
Castelldefels;Altitud (m);205;3;3;
Castelldefels;Superfície (km²);205;4;12,87;
Castelldefels;Població;205;5;69689;
Castellet i la Gornal;Comarca;206;1;Alt Penedès;
Castellet i la Gornal;Codi;206;2;80581;
Castellet i la Gornal;Altitud (m);206;3;137;
Castellet i la Gornal;Superfície (km²);206;4;47,48;
Castellet i la Gornal;Població;206;5;2773;
Castellfollit de la Roca;Comarca;207;1;Garrotxa;
Castellfollit de la Roca;Codi;207;2;170464;
Castellfollit de la Roca;Altitud (m);207;3;296;
Castellfollit de la Roca;Superfície (km²);207;4;0,73;
Castellfollit de la Roca;Població;207;5;960;
Castellfollit de Riubregós;Comarca;208;1;Anoia;
Castellfollit de Riubregós;Codi;208;2;80608;
Castellfollit de Riubregós;Altitud (m);208;3;467;
Castellfollit de Riubregós;Superfície (km²);208;4;26,21;
Castellfollit de Riubregós;Població;208;5;153;
Castellfollit del Boix;Comarca;209;1;Bages;
Castellfollit del Boix;Codi;209;2;80594;
Castellfollit del Boix;Altitud (m);209;3;700;
Castellfollit del Boix;Superfície (km²);209;4;58,9;
Castellfollit del Boix;Població;209;5;469;
Castellgalí;Comarca;210;1;Bages;
Castellgalí;Codi;210;2;80615;
Castellgalí;Altitud (m);210;3;266;
Castellgalí;Superfície (km²);210;4;17,21;
Castellgalí;Població;210;5;2411;
Castellnou de Bages;Comarca;211;1;Bages;
Castellnou de Bages;Codi;211;2;80620;
Castellnou de Bages;Altitud (m);211;3;469;
Castellnou de Bages;Superfície (km²);211;4;29,16;
Castellnou de Bages;Població;211;5;1471;
Castellnou de Seana;Comarca;212;1;Pla d'Urgell;
Castellnou de Seana;Codi;212;2;250680;
Castellnou de Seana;Altitud (m);212;3;269;
Castellnou de Seana;Superfície (km²);212;4;16,11;
Castellnou de Seana;Població;212;5;733;
Castelló d'Empúries;Comarca;213;1;Alt Empordà;
Castelló d'Empúries;Codi;213;2;170470;
Castelló d'Empúries;Altitud (m);213;3;17;
Castelló d'Empúries;Superfície (km²);213;4;42,3;
Castelló d'Empúries;Població;213;5;12275;
Castelló de Farfanya;Comarca;214;1;Noguera;
Castelló de Farfanya;Codi;214;2;250693;
Castelló de Farfanya;Altitud (m);214;3;358;
Castelló de Farfanya;Superfície (km²);214;4;52,62;
Castelló de Farfanya;Població;214;5;548;
Castellolí;Comarca;215;1;Anoia;
Castellolí;Codi;215;2;80636;
Castellolí;Altitud (m);215;3;415;
Castellolí;Superfície (km²);215;4;25,28;
Castellolí;Població;215;5;670;
Castellserà;Comarca;216;1;Urgell;
Castellserà;Codi;216;2;250707;
Castellserà;Altitud (m);216;3;267;
Castellserà;Superfície (km²);216;4;15,84;
Castellserà;Població;216;5;987;
Castellterçol;Comarca;217;1;Moianès;
Castellterçol;Codi;217;2;80641;
Castellterçol;Altitud (m);217;3;726;
Castellterçol;Superfície (km²);217;4;31,9;
Castellterçol;Població;217;5;2742;
Castellvell del Camp;Comarca;218;1;Baix Camp;
Castellvell del Camp;Codi;218;2;430424;
Castellvell del Camp;Altitud (m);218;3;219;
Castellvell del Camp;Superfície (km²);218;4;5,21;
Castellvell del Camp;Població;218;5;3001;
Castellví de la Marca;Comarca;219;1;Alt Penedès;
Castellví de la Marca;Codi;219;2;80654;
Castellví de la Marca;Altitud (m);219;3;198;
Castellví de la Marca;Superfície (km²);219;4;28,4;
Castellví de la Marca;Població;219;5;1718;
Castellví de Rosanes;Comarca;220;1;Baix Llobregat;
Castellví de Rosanes;Codi;220;2;80667;
Castellví de Rosanes;Altitud (m);220;3;178;
Castellví de Rosanes;Superfície (km²);220;4;16,38;
Castellví de Rosanes;Població;220;5;2166;
Catllar, el;Comarca;221;1;Tarragonès;
Catllar, el;Codi;221;2;430430;
Catllar, el;Altitud (m);221;3;59;
Catllar, el;Superfície (km²);221;4;26,43;
Catllar, el;Població;221;5;5387;
Cava;Comarca;222;1;Alt Urgell;
Cava;Codi;222;2;250714;
Cava;Altitud (m);222;3;1335;
Cava;Superfície (km²);222;4;42,19;
Cava;Població;222;5;38;
Cellera de Ter, la;Comarca;223;1;Selva;
Cellera de Ter, la;Codi;223;2;171899;
Cellera de Ter, la;Altitud (m);223;3;166;
Cellera de Ter, la;Superfície (km²);223;4;14,63;
Cellera de Ter, la;Població;223;5;2033;
Celrà;Comarca;224;1;Gironès;
Celrà;Codi;224;2;170499;
Celrà;Altitud (m);224;3;71;
Celrà;Superfície (km²);224;4;19,53;
Celrà;Població;224;5;5613;
Centelles;Comarca;225;1;Osona;
Centelles;Codi;225;2;80673;
Centelles;Altitud (m);225;3;496;
Centelles;Superfície (km²);225;4;15,18;
Centelles;Població;225;5;7860;
Cercs;Comarca;226;1;Berguedà;
Cercs;Codi;226;2;82687;
Cercs;Altitud (m);226;3;650;
Cercs;Superfície (km²);226;4;47,35;
Cercs;Població;226;5;1236;
Cerdanyola del Vallès;Comarca;227;1;Vallès Occidental;
Cerdanyola del Vallès;Codi;227;2;82665;
Cerdanyola del Vallès;Altitud (m);227;3;82;
Cerdanyola del Vallès;Superfície (km²);227;4;30,56;
Cerdanyola del Vallès;Població;227;5;58264;
Cervelló;Comarca;228;1;Baix Llobregat;
Cervelló;Codi;228;2;80689;
Cervelló;Altitud (m);228;3;122;
Cervelló;Superfície (km²);228;4;24,1;
Cervelló;Població;228;5;9726;
Cervera;Comarca;229;1;Segarra;
Cervera;Codi;229;2;250729;
Cervera;Altitud (m);229;3;548;
Cervera;Superfície (km²);229;4;55,19;
Cervera;Població;229;5;9630;
Cervià de les Garrigues;Comarca;230;1;Garrigues;
Cervià de les Garrigues;Codi;230;2;250735;
Cervià de les Garrigues;Altitud (m);230;3;444;
Cervià de les Garrigues;Superfície (km²);230;4;34,2;
Cervià de les Garrigues;Població;230;5;637;
Cervià de Ter;Comarca;231;1;Gironès;
Cervià de Ter;Codi;231;2;170502;
Cervià de Ter;Altitud (m);231;3;45;
Cervià de Ter;Superfície (km²);231;4;9,9;
Cervià de Ter;Població;231;5;1030;
Cistella;Comarca;232;1;Alt Empordà;
Cistella;Codi;232;2;170519;
Cistella;Altitud (m);232;3;130;
Cistella;Superfície (km²);232;4;25,55;
Cistella;Població;232;5;285;
Ciutadilla;Comarca;233;1;Urgell;
Ciutadilla;Codi;233;2;250740;
Ciutadilla;Altitud (m);233;3;519;
Ciutadilla;Superfície (km²);233;4;17,03;
Ciutadilla;Població;233;5;186;
Clariana de Cardener;Comarca;234;1;Solsonès;
Clariana de Cardener;Codi;234;2;250753;
Clariana de Cardener;Altitud (m);234;3;500;
Clariana de Cardener;Superfície (km²);234;4;40,78;
Clariana de Cardener;Població;234;5;160;
Cogul, el;Comarca;235;1;Garrigues;
Cogul, el;Codi;235;2;250766;
Cogul, el;Altitud (m);235;3;279;
Cogul, el;Superfície (km²);235;4;17,51;
Cogul, el;Població;235;5;162;
Colera;Comarca;236;1;Alt Empordà;
Colera;Codi;236;2;170545;
Colera;Altitud (m);236;3;10;
Colera;Superfície (km²);236;4;24,35;
Colera;Població;236;5;489;
Coll de Nargó;Comarca;237;1;Alt Urgell;
Coll de Nargó;Codi;237;2;250772;
Coll de Nargó;Altitud (m);237;3;573;
Coll de Nargó;Superfície (km²);237;4;151,41;
Coll de Nargó;Població;237;5;585;
Collbató;Comarca;238;1;Baix Llobregat;
Collbató;Codi;238;2;80692;
Collbató;Altitud (m);238;3;388;
Collbató;Superfície (km²);238;4;18,07;
Collbató;Població;238;5;4820;
Colldejou;Comarca;239;1;Baix Camp;
Colldejou;Codi;239;2;430458;
Colldejou;Altitud (m);239;3;431;
Colldejou;Superfície (km²);239;4;14,48;
Colldejou;Població;239;5;157;
Collsuspina;Comarca;240;1;Moianès;
Collsuspina;Codi;240;2;80706;
Collsuspina;Altitud (m);240;3;901;
Collsuspina;Superfície (km²);240;4;15,08;
Collsuspina;Població;240;5;390;
Colomers;Comarca;241;1;Baix Empordà;
Colomers;Codi;241;2;170558;
Colomers;Altitud (m);241;3;41;
Colomers;Superfície (km²);241;4;4,35;
Colomers;Població;241;5;206;
Coma i la Pedra, la;Comarca;242;1;Solsonès;
Coma i la Pedra, la;Codi;242;2;251636;
Coma i la Pedra, la;Altitud (m);242;3;1004;
Coma i la Pedra, la;Superfície (km²);242;4;60,62;
Coma i la Pedra, la;Població;242;5;278;
Conca de Dalt;Comarca;243;1;Pallars Jussà;
Conca de Dalt;Codi;243;2;251615;
Conca de Dalt;Altitud (m);243;3;507;
Conca de Dalt;Superfície (km²);243;4;166,48;
Conca de Dalt;Població;243;5;439;
