concepte,any,municipi,renda familiar disponible bruta,renda familiar disponible bruta,renda familiar disponible bruta
indicador,,,per habitant (índex Catalunya=100),per habitant (€),valor (milers €)
258,2001.0,Montornès del Vallès,83.8,10200.0,132782.0
259,2001.0,Móra d'Ebre,110.6,13500.0,64605.0
260,2001.0,Navarcles,90.1,11000.0,59271.0
261,2001.0,Navàs,89.4,10900.0,61051.0
262,2001.0,Olesa de Montserrat,89.4,10900.0,198008.0
263,2001.0,Olot,115.1,14100.0,402402.0
264,2001.0,Palafolls,83.2,10200.0,59232.0
265,2001.0,Palafrugell,97.9,12000.0,225545.0
266,2001.0,Palamós,101.4,12400.0,191199.0
267,2001.0,Palau-solità i Plegamans,101.2,12400.0,142286.0
268,2001.0,Pallejà,108.2,13200.0,105431.0
269,2001.0,Parets del Vallès,92.9,11400.0,171635.0
270,2001.0,Piera,84.4,10300.0,99948.0
271,2001.0,Pineda de Mar,82.0,10000.0,214547.0
272,2001.0,Polinyà,89.0,10900.0,54466.0
273,2001.0,"Pont de Suert, el",111.1,13600.0,29300.0
274,2001.0,"Prat de Llobregat, el",79.2,9700.0,610632.0
275,2001.0,Premià de Dalt,129.6,15800.0,146473.0
276,2001.0,Premià de Mar,90.6,11100.0,295738.0
277,2001.0,Puigcerdà,117.8,14400.0,108257.0
278,2001.0,Reus,98.6,12100.0,1094630.0
279,2001.0,Ripoll,110.0,13400.0,145106.0
280,2001.0,Ripollet,81.1,9900.0,306983.0
281,2001.0,Riudoms,98.9,12100.0,64397.0
282,2001.0,"Roca del Vallès, la",97.1,11900.0,92223.0
283,2001.0,Roda de Ter,88.5,10800.0,56734.0
284,2001.0,Roquetes,90.8,11100.0,72561.0
285,2001.0,Roses,95.7,11700.0,162530.0
286,2001.0,Rubí,81.7,10000.0,613503.0
287,2001.0,"Ràpita, la",100.7,12300.0,142931.0
288,2001.0,Sabadell,91.0,11100.0,2069716.0
289,2001.0,Sallent,87.9,10700.0,76432.0
290,2001.0,Salou,110.7,13500.0,198266.0
291,2001.0,Salt,89.0,10900.0,248374.0
292,2001.0,Sant Adrià de Besòs,75.0,9200.0,298218.0
