,Unnamed: 0,Data d'inici,Municipis,Àmbit Territorial,Cens 2024,Percentatge població servida amb el PaP,Fraccions recollides PaP,Horari de Recollida,habitants servits amb el PaP
197,198.0,2018-11-18,ESQUIROL,Osona,2277.0,100.0,4 [FO+MP+V+R],nocturn,2277.0
198,199.0,2020-10-05,LES MASIES DE RODA,Osona,750.0,100.0,2 [MP+R],nocturn,750.0
199,200.0,2022-02-08,SANT HIPÒLIT DE VOLTEGRÀ,OSONA,3687.0,100.0,4 [FO+MP+V+R],nocturn,3687.0
200,201.0,2022-11-01,MANLLEU,Osona,21348.0,100.0,3 [FO+MP+R],nocturn,21348.0
201,202.0,2024-05-22,"VIC (veïnat de Sentfores, la Guixà, i barris de Sant Llàtzer i Quatre estacions)",Osona,49530.0,,3 [FO+MP+R],nocturn,
202,203.0,2015-03-18,ESTERRI DE CARDÓS,Pallars Sobirà,63.0,100.0,5 [FO+R+V+P/C+E],diürn,63.0
203,204.0,2015-03-18,LLADORRE,Pallars Sobirà,254.0,100.0,5 [FO+R+V+P/C+E],diürn,254.0
204,205.0,2015-03-18,VALL DE CARDÓS,Pallars Sobirà,375.0,100.0,5 [FO+R+V+P/C+E],diürn,375.0
205,206.0,2015-03-22,SORT,Pallars Sobirà,2213.0,100.0,5 [FO+R+V+P/C+E],diürn,2213.0
206,207.0,2015-03-23,ALINS,Pallars Sobirà,275.0,100.0,5 [FO+R+V+P/C+E],diürn,275.0
207,208.0,2015-03-25,SORIGUERA,Pallars Sobirà,444.0,100.0,5 [FO+R+V+P/C+E],diürn,444.0
208,209.0,2015-03-27,LLAVORSÍ,Pallars Sobirà,336.0,100.0,5 [FO+R+V+P/C+E],diürn,336.0
209,210.0,2015-03-29,RIALP,Pallars Sobirà,664.0,100.0,5 [FO+R+V+P/C+E],diürn,664.0
210,211.0,2015-04-15,ALT ÀNEU,Pallars Sobirà,455.0,100.0,5 [FO+R+V+P/C+E],diürn,455.0
211,212.0,2015-04-15,ESTERRI D'ÀNEU,Pallars Sobirà,921.0,100.0,5 [FO+R+V+P/C+E],diürn,921.0
212,213.0,2015-04-16,LA GUINGUETA D'ÀNEU,Pallars Sobirà,285.0,100.0,5 [FO+R+V+P/C+E],diürn,285.0
213,214.0,2015-05-11,ESPOT,Pallars Sobirà,379.0,100.0,5 [FO+R+V+P/C+E],diürn,379.0
214,215.0,2021-10-04,BAIX PALLARS (GERRI DE LA SAL),Pallars Sobirà,340.0,100.0,5 [FO+R+V+P/C+E],diürn,340.0
215,216.0,2018-02-16,CAMÓS,Pla de l'Estany,711.0,75.0,4 [FO+R+P/C+E],nocturn,53325.0
216,217.0,2018-02-16,PORQUERES,Pla de l'Estany,4804.0,94.0,4 [FO+R+P/C+E],nocturn,4515.76
217,218.0,2022-06-13,ESPONELLÀ,Pla de l'Estany,438.0,83.0,4 [FO+R+P/C+E],nocturn,36354.0
218,219.0,2022-06-13,SERINYÀ,Pla de l'Estany,1198.0,100.0,4 [FO+R+P/C+E],nocturn,1198.0
219,220.0,2022-06-14,CORNELLÀ DE TERRI,Pla de l'Estany,2390.0,73.0,4 [FO+R+P/C+E],nocturn,1744.7
220,221.0,2022-06-14,FONTCOBERTA,Pla de l'Estany,1503.0,100.0,4 [FO+R+P/C+E],nocturn,1503.0
221,222.0,2003-04-08,LA FIGUERA,Priorat,122.0,100.0,2 [FO+R],diürn,122.0
222,223.0,2004-11-15,FALSET,Priorat,2856.0,97.0,5 [FO+R+V+P/C+E],nocturn,2770.32
223,224.0,2004-11-29,EL MASROIG,Priorat,480.0,97.0,5 [FO+R+V+P/C+E],diürn,46560.0
224,225.0,2006-01-02,LA TORRE DE FONTAUBELLA,Priorat,119.0,100.0,5 [FO+R+V+P/C+E],diürn,119.0
225,226.0,2006-03-15,ULLDEMOLINS,Priorat,416.0,100.0,5 [FO+R+V+P/C+E],diürn,416.0
226,227.0,2006-04-12,CORNUDELLA DE MONTSANT,Priorat,1023.0,100.0,5 [FO+R+V+P/C+E],diürn,1023.0
227,228.0,2007-12-01,PORRERA,Priorat,417.0,100.0,5 [FO+R+V+P/C+E],diürn,417.0
228,229.0,2008-07-01,GRATALLOPS,Priorat,229.0,100.0,5 [FO+R+V+P/C+E],diürn,229.0
229,230.0,2008-08-01,LA MORERA DE MONTSANT,Priorat,138.0,92.0,5 [FO+R+V+P/C+E],diürn,12696.0
230,231.0,2008-12-01,BELLMUNT DEL PRIORAT,Priorat,298.0,100.0,5 [FO+R+V+P/C+E],diürn,298.0
231,232.0,2009-07-20,CABACÉS,Priorat,302.0,100.0,2 [FO+R],diürn,302.0
232,233.0,2009-11-23,ELS GUIAMETS,Priorat,258.0,100.0,2 [FO+R],diürn,258.0
233,234.0,2010-03-09,CAPÇANES,Priorat,428.0,97.0,5 [FO+R+V+P/C+E],nocturn,41516.0
234,235.0,2010-04-19,POBOLEDA,Priorat,334.0,100.0,5 [FO+R+V+P/C+E],diürn,334.0
235,236.0,2012-06-04,PRADELL DE LA TEIXETA,Priorat,178.0,82.0,5 [FO+R+V+P/C+E],diürn,14596.0
236,237.0,2013-04-08,LA VILELLA BAIXA,Priorat,207.0,100.0,2 [FO+R],diürn,207.0
237,238.0,2014-05-01,MARGALEF,Priorat,106.0,100.0,,diürn,106.0
238,239.0,2022-06-01,MARÇÀ,Priorat,598.0,100.0,4 [FO+R+P/C+E],nocturn,598.0
239,240.0,2004-04-15,MIRAVET,Ribera d'Ebre,688.0,100.0,2 [FO+R],diürn,688.0
240,241.0,2004-06-07,GARCIA,Ribera d'Ebre,543.0,100.0,5 [FO+R+V+P/C+E],diürn,543.0
241,242.0,2004-10-11,RASQUERA,Ribera d'Ebre,792.0,100.0,5 [FO+R+V+P/C+E],diürn,792.0
242,243.0,2006-02-15,LA TORRE DE L'ESPANYOL,Ribera d'Ebre,631.0,100.0,5 [FO+R+V+P/C+E],diürn,631.0
243,244.0,2006-03-02,GINESTAR,Ribera d'Ebre,794.0,100.0,2 [FO+R],diürn,794.0
244,245.0,2006-06-01,TIVISSA,Ribera d'Ebre,1632.0,100.0,2 [FO+R],nocturn,1632.0
245,246.0,2016-01-18,VINEBRE,Ribera d'Ebre,424.0,100.0,4 [FO+R+P/C+E],,424.0
246,247.0,2016-10-10,RIBA-ROJA D'EBRE,Ribera d'Ebre,1128.0,100.0,4 [FO+R+P/C+E],nocturn,1128.0
247,248.0,2021-08-21,MORA LA NOVA,Ribera d'Ebre,3314.0,100.0,4 [FO+R+P/C+E],nocturn,3314.0
248,249.0,2022-01-31,FLIX,Ribere d'Ebre,3324.0,100.0,4 [FO+R+P/C+E],,3324.0
