,Codi_Municipi,Municipi,Comarca,Província
512,251581,"Palau d'Anglesola, el",Pla d'Urgell,Lleida
513,171194,Palau de Santa Eulàlia,Alt Empordà,Girona
514,171215,Palau-sator,Baix Empordà,Girona
515,171208,Palau-saverdera,Alt Empordà,Girona
516,81568,Palau-solità i Plegamans,Vallès Occidental,Barcelona
517,431009,"Pallaresos, els",Tarragonès,Tarragona
518,81574,Pallejà,Baix Llobregat,Barcelona
519,430995,"Palma d'Ebre, la",Ribera d'Ebre,Tarragona
520,89058,"Palma de Cervelló, la",Baix Llobregat,Barcelona
521,171236,Palol de Revardit,Pla de l'Estany,Girona
522,171241,Pals,Baix Empordà,Girona
523,81580,"Papiol, el",Baix Llobregat,Barcelona
524,171254,Pardines,Ripollès,Girona
525,81593,Parets del Vallès,Vallès Oriental,Barcelona
526,171267,Parlavà,Baix Empordà,Girona
527,431016,Passanant i Belltall,Conca de Barberà,Tarragona
528,171289,Pau,Alt Empordà,Girona
529,431021,Paüls,Baix Ebre,Tarragona
530,171292,Pedret i Marzà,Alt Empordà,Girona
531,251641,Penelles,Noguera,Lleida
532,171306,"Pera, la",Baix Empordà,Girona
533,81607,Perafita,Lluçanès,Barcelona
534,431037,Perafort,Tarragonès,Tarragona
535,171328,Peralada,Alt Empordà,Girona
536,251654,Peramola,Alt Urgell,Lleida
537,431042,"Perelló, el",Baix Ebre,Tarragona
538,81614,Piera,Anoia,Barcelona
539,431055,"Piles, les",Conca de Barberà,Tarragona
540,81635,Pineda de Mar,Maresme,Barcelona
541,431068,"Pinell de Brai, el",Terra Alta,Tarragona
542,251667,Pinell de Solsonès,Solsonès,Lleida
543,251673,Pinós,Solsonès,Lleida
544,431074,Pira,Conca de Barberà,Tarragona
