,Codi_Municipi,Municipi,Comarca,Província
137,170280,Brunyola i Sant Martí Sapresa,Selva,Girona/Barcelona (4)
138,430347,Bràfim,Alt Camp,Tarragona
139,170160,Bàscara,Alt Empordà,Girona
140,250576,"Bòrdes, Es",Aran,Lleida
141,430350,Cabacés,Priorat,Tarragona
142,250609,Cabanabona,Noguera,Lleida
143,170314,Cabanelles,Alt Empordà,Girona
144,170307,Cabanes,Alt Empordà,Girona
145,80272,"Cabanyes, les",Alt Penedès,Barcelona
146,430363,Cabra del Camp,Alt Camp,Tarragona
147,80288,Cabrera d'Anoia,Anoia,Barcelona
148,80291,Cabrera de Mar,Maresme,Barcelona
149,80305,Cabrils,Maresme,Barcelona
150,250616,Cabó,Alt Urgell,Lleida
151,170329,Cadaqués,Alt Empordà,Girona
152,80312,Calaf,Anoia,Barcelona
153,430379,Calafell,Baix Penedès,Tarragona
154,80348,Calders,Moianès,Barcelona
155,80327,Caldes d'Estrac,Maresme,Barcelona
156,170335,Caldes de Malavella,Selva,Girona/Barcelona (4)
157,80333,Caldes de Montbui,Vallès Oriental,Barcelona
158,80351,Calella,Maresme,Barcelona
159,80370,Calldetenes,Osona,Barcelona/Girona (3)
160,80386,Callús,Bages,Barcelona
161,80364,Calonge de Segarra,Anoia,Barcelona
162,170340,Calonge i Sant Antoni,Baix Empordà,Girona
163,250621,Camarasa,Noguera,Lleida
164,439039,Camarles,Baix Ebre,Tarragona
165,430385,Cambrils,Baix Camp,Tarragona
166,170366,Campdevànol,Ripollès,Girona
167,170372,Campelles,Ripollès,Girona
168,80399,Campins,Vallès Oriental,Barcelona
169,170388,Campllong,Gironès,Girona
170,170391,Camprodon,Ripollès,Girona
171,170353,Camós,Pla de l'Estany,Girona
172,250637,Canejan,Aran,Lleida
173,170405,Canet d'Adri,Gironès,Girona
174,80403,Canet de Mar,Maresme,Barcelona
175,439076,"Canonja, la",Tarragonès,Tarragona
176,80410,Canovelles,Vallès Oriental,Barcelona
177,170412,Cantallops,Alt Empordà,Girona
178,80431,Canyelles,Garraf,Barcelona
179,430398,Capafonts,Baix Camp,Tarragona
180,80446,Capellades,Anoia,Barcelona
181,170427,Capmany,Alt Empordà,Girona
182,80459,Capolat,Berguedà,Barcelona/Lleida (1)
183,430402,Capçanes,Priorat,Tarragona
184,80462,Cardedeu,Vallès Oriental,Barcelona
185,80478,Cardona,Bages,Barcelona
186,80484,Carme,Anoia,Barcelona
187,430419,Caseres,Terra Alta,Tarragona
188,80497,Casserres,Berguedà,Barcelona/Lleida (1)
189,170448,Cassà de la Selva,Gironès,Girona
190,170486,"Castell d'Aro, Platja d'Aro i s'Agaró",Baix Empordà,Girona
191,259046,Castell de Mur,Pallars Jussà,Lleida
192,80575,Castell de l'Areny,Berguedà,Barcelona/Lleida (1)
193,250642,Castellar de la Ribera,Solsonès,Lleida
194,80522,Castellar de n'Hug,Berguedà,Barcelona/Lleida (1)
